key,context,en,de,es,fr,it,pt-br,ja,ko,zh-hans,zh-hant
page.press-kit.title,Page title | Press Kit page,Press Kit,Pressekit,Kit de prensa,Kit de presse,Press Kit,Kit de imprensa,プレスキット,프레스 키트,媒体资料,媒體資料
page.press-kit.description,Meta description | Press Kit page,"Download {Sushi Ben} logos, screenshots, fact sheet details, trailer links, and press contact information.","Laden Sie Logos, Screenshots, Fact-Sheet-Details, Trailer-Links und Pressekontaktinformationen zu {Sushi Ben} herunter.","Descarga logotipos, capturas de pantalla, detalles de la ficha técnica, enlaces a tráilers e información de contacto de prensa de {Sushi Ben}.","Téléchargez les logos, captures d’écran, détails de la fiche d’information, liens vers les bandes-annonces et coordonnées presse de {Sushi Ben}.","Scarica loghi, screenshot, dettagli della scheda informativa, link ai trailer e informazioni di contatto stampa di {Sushi Ben}.","Baixe logos, capturas de tela, detalhes da ficha técnica, links de trailer e informações de contato de imprensa de {Sushi Ben}.",{Sushi Ben} のロゴ、スクリーンショット、ファクトシート、トレーラーリンク、プレス向け連絡先情報をダウンロードできます。,"{Sushi Ben} 로고, 스크린샷, 팩트 시트 정보, 트레일러 링크, 언론 문의 정보를 다운로드하세요.",下载 {Sushi Ben} 的 logo、截图、资料表详情、预告片链接以及媒体联系方式。,下載 {Sushi Ben} 的 logo、截圖、資料表詳情、預告片連結以及媒體聯絡資訊。
press.hero.title,Heading | Press Kit hero section,Press Kit,Pressekit,Kit de prensa,Kit de presse,Press Kit,Kit de imprensa,プレスキット,프레스 키트,媒体资料,媒體資料
press.hero.intro,Body text | Press Kit hero section,"is a cozy, anime-inspired narrative adventure about saving a beloved sushi bar from greedy landsharks in Kotobuki Town.","Ein gemütliches, vom Anime inspiriertes Erzählabenteuer über die Rettung einer geliebten Sushi-Bar vor gierigen Spekulanten in Kotobuki Town.",Una acogedora aventura narrativa inspirada en el anime sobre salvar un querido bar de sushi de codiciosos especuladores en Kotobuki Town.,"Une aventure narrative chaleureuse inspirée des anime, où il faut sauver un bar à sushi bien-aimé des griffes de promoteurs cupides à Kotobuki Town.",Un’accogliente avventura narrativa ispirata agli anime in cui salvare un amato sushi bar da avidi speculatori a Kotobuki Town.,Uma aconchegante aventura narrativa inspirada em anime sobre salvar um querido sushi bar das mãos de especuladores gananciosos em Kotobuki Town.,コトブキタウンで、強欲な地上げ屋から大切な寿司バーを救う、心温まるアニメ風ナラティブアドベンチャー。,코토부키 타운에서 탐욕스러운 부동산 업자들로부터 사랑받는 스시 바를 지켜내는 따뜻한 분위기의 애니메이션풍 내러티브 어드벤처.,一款温馨、充满动画风格的叙事冒险游戏，讲述在 Kotobuki Town 从贪婪的地产投机者手中拯救心爱寿司吧的故事。,一款溫馨、充滿動畫風格的敘事冒險遊戲，講述在 Kotobuki Town 從貪婪的地產投機者手中拯救心愛壽司吧的故事。
press.trailer.title,Iframe title | Press Kit trailer embed,{Sushi Ben} Trailer,{Sushi Ben}-Trailer,Tráiler de {Sushi Ben},Bande-annonce de {Sushi Ben},Trailer di {Sushi Ben},Trailer de {Sushi Ben},{Sushi Ben} トレーラー,{Sushi Ben} 트레일러,{Sushi Ben} 预告片,{Sushi Ben} 預告片
press.short_description.title,Heading | Press Kit short description section,Short Description,Kurzbeschreibung,Descripción breve,Description courte,Descrizione breve,Descrição curta,概要,짧은 소개,简短介绍,簡短介紹
press.key_features.title,Heading | Press Kit key features section,Key Features,Hauptmerkmale,Características principales,Points clés,Caratteristiche principali,Principais recursos,主な特徴,주요 특징,主要特色,主要特色
press.logos.title,Heading | Press Kit logos section,Logos,Logos,Logotipos,Logos,Loghi,Logos,ロゴ,로고,Logo,Logo
press.download_media,Button label | Press Kit media pack download,Download Media Pack,Medienpaket herunterladen,Descargar paquete de medios,Télécharger le kit média,Scarica media pack,Baixar pacote de mídia,メディアパックをダウンロード,미디어 팩 다운로드,下载媒体包,下載媒體包
press.download_press_kit,Button label | Legacy Google Drive press kit download,Download Press Kit,Pressekit herunterladen,Descargar kit de prensa,Télécharger le kit de presse,Scarica press kit,Baixar kit de imprensa,プレスキットをダウンロード,프레스 키트 다운로드,下载新闻资料包,下載新聞資料包
