key,context,en,de,es,fr,it,pt-br,ja,ko,zh-hans,zh-hant
cast.label.en,Short label | Cast credit language label (use very short abbreviation),EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
cast.label.jp,Short label | Cast credit language label (use very short abbreviation),JP,JP,JP,JP,JP,JP,JP,JP,JP,JP
cast.section.additional,Heading | Cast page section,Additional Characters,Weitere Figuren,Personajes adicionales,Personnages additionnels,Personaggi aggiuntivi,Personagens adicionais,追加キャラクター,추가 캐릭터,其他角色,其他角色
cast.section.customers,Heading | Cast page section,Customers,Kunden,Clientes,Clients,Clienti,Clientes,お客さん,손님들,顾客,顧客
cast.section.main,Heading | Cast page section,Main Characters,Hauptfiguren,Personajes principales,Personnages principaux,Personaggi principali,Personagens principais,メインキャラクター,주요 캐릭터,主要角色,主要角色
cast.section.suppliers,Heading | Cast page section,Suppliers,Lieferanten,Proveedores,Fournisseurs,Fornitori,Fornecedores,仕入れ先,공급업체,供应商,供應商
cast.section.supporting,Heading | Cast page section,Supporting Characters,Nebenfiguren,Personajes secundarios,Personnages secondaires,Personaggi di supporto,Personagens de apoio,サブキャラクター,조연 캐릭터,配角,配角
page.cast.title,Page title | Cast page,Cast,Besetzung,Reparto,Distribution,Cast,Elenco,キャスト,출연진,配音阵容,配音陣容
page.cast.description,Meta description | Cast page,Meet the English and Japanese voice cast of {Sushi Ben}'s colorful Kotobuki Town characters.,Lernen Sie die englische und japanische Sprecherbesetzung der farbenfrohen Figuren aus Kotobuki Town in {Sushi Ben} kennen.,Conoce al reparto de voces en inglés y japonés de los coloridos personajes de Kotobuki Town en {Sushi Ben}.,Découvrez les comédiens et comédiennes de doublage anglais et japonais des personnages hauts en couleur de Kotobuki Town dans {Sushi Ben}.,Scopri il cast vocale inglese e giapponese dei colorati personaggi di Kotobuki Town in {Sushi Ben}.,Conheça o elenco de voz em inglês e japonês dos personagens coloridos de Kotobuki Town em {Sushi Ben}.,{Sushi Ben}に登場する、個性豊かなコトブキタウンの住人たちを演じる英語版・日本語版ボイスキャストをご紹介します。,{Sushi Ben}의 개성 넘치는 코토부키 타운 캐릭터들을 연기한 영어 및 일본어 성우진을 만나보세요.,认识一下在 {Sushi Ben} 中为寿吹镇个性鲜明角色献声的英语和日语配音演员阵容。,來認識一下在 {Sushi Ben} 中為壽吹鎮個性鮮明角色獻聲的英語與日語配音演員陣容。
page.team.title,Page title | Team page,Meet the Team,Team kennenlernen,Conoce al equipo,Rencontrer l'équipe,Incontra il team,Conheça a equipe,チーム紹介,팀 소개,团队介绍,團隊介紹
page.team.description,Meta description | Team page,"Meet the developers, artists, and creative team behind {Sushi Ben}.","Lernen Sie die Entwickler, Künstler und das Kreativteam hinter {Sushi Ben} kennen.","Conoce a los desarrolladores, artistas y al equipo creativo detrás de {Sushi Ben}.","Découvrez les développeurs, artistes et l’équipe créative derrière {Sushi Ben}.","Scopri gli sviluppatori, gli artisti e il team creativo dietro {Sushi Ben}.","Conheça os desenvolvedores, artistas e a equipe criativa por trás de {Sushi Ben}.",{Sushi Ben}を手がけた開発者、アーティスト、クリエイティブチームをご紹介します。,"{Sushi Ben}를 만든 개발자, 아티스트, 그리고 크리에이티브 팀을 만나보세요.",认识一下打造 {Sushi Ben} 的开发者、艺术家与创意团队。,來認識一下打造 {Sushi Ben} 的開發者、藝術家與創意團隊。
